laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
4992,-1771,63,-151
5155,-1956,65,-116
5644,-1480,92,-92
4883,-1754,77,-152
5525,-1319,59,-115
5621,-1212,78,-130
4676,-1429,86,-94
6361,-1904,66,-148
5564,-1068,85,-121
4666,-1612,75,-128
5951,-852,64,-94
6222,-1045,85,-94
6924,-1562,92,-136
6171,-1482,53,-98
6947,-1431,64,-107
5887,-1960,55,-97
5792,-1585,50,-99
6385,-1198,103,-78
4963,-1648,31,-141
6755,-1511,38,-146
4805,-1669,80,-135
5728,-1481,106,-89
4615,-1806,69,-111
6198,-1602,53,-122
5402,-1459,77,-108
5580,-1572,64,-96
3587,-1497,62,-109
4357,-1369,86,-86
3453,-1164,79,-110
4054,-1820,67,-132
4841,-1694,72,-110
3423,-1230,55,-79
4186,-1876,87,-112
2675,-1170,46,-121
2285,-1792,51,-94
4030,-1540,64,-128
3008,-1061,71,-106
3810,-1547,47,-127
4675,-1648,41,-138
3969,-1341,50,-93
2994,-2130,55,-91
3276,-1435,29,-67
5477,-1740,90,-110
3874,-1056,105,-82
1922,-1210,69,-119
2394,-1995,73,-114
2420,-1122,48,-82
4868,-1526,69,-110
1353,-1795,81,-110
4699,-1698,63,-105
4516,-1495,51,-72
3217,-915,69,-126
2409,-1657,56,-111
1523,-1410,98,-116
1853,-1760,103,-125
2952,-2035,35,-110
3436,-1473,60,-128
3581,-1390,63,-89
3356,-1731,45,-90
2730,-1161,77,-111
4181,-1507,82,-84
4085,-1446,26,-113
2423,-1494,59,-82
2087,-1977,83,-148
7650,-1119,56,-81
6645,-1347,86,-123
3616,-1672,34,-76
6110,-1370,51,-107
6421,-1798,55,-104
7227,-1417,49,-97
7460,-1562,72,-77
4142,-2432,52,-85
3977,-364,80,-90
7726,-2185,67,-121
3737,-1005,59,-67
6348,-1080,84,-78
6906,-1588,77,-89
6188,-1446,63,-99
5728,-2026,71,-41
6663,-1402,113,-86
8409,-744,83,-69
7523,-1746,43,-82
7347,-1462,121,-86
7820,-1536,50,-107
8320,-1485,91,-108
8187,-1738,83,-84
8286,-1487,88,-71
8129,-1306,74,-103
8647,-1427,79,-56
7712,-1247,71,-83
8060,-1350,107,-87
7875,-1548,38,-137
7553,-1608,78,-58
7897,-1873,83,-128
8222,-1481,103,-98

SCAN 6 - Right to Left
7916,-2605,22,-106
7819,-623,75,-50
7801,-1053,81,-110
7748,39,81,-102
8036,-235,90,-96
7770,382,93,-82
8107,2651,136,-9
8088,349,77,-82
8049,2226,115,-38
7999,326,81,-71
7670,1796,149,-63
8159,999,76,-59
7681,1405,99,-70
7726,3326,84,-75
8121,-849,54,-106
8205,3495,150,-18
7813,-577,49,-95
7388,1156,87,-23
8076,418,113,-40
8239,3620,151,-52
7639,-488,81,-53
8046,2837,111,-42
8211,-472,86,-84
6357,958,75,-59
5977,837,100,-42
6769,2803,133,-29
6450,-151,58,-83
6311,677,94,-34
4737,1304,100,31
6270,2396,116,-61
4089,446,96,-78
4105,1645,114,-24
3219,2657,101,-21
3875,52,87,-110
7098,2204,146,-10
5497,2655,119,-70
8344,-168,59,-45
4201,3966,157,50
5208,-1472,1,-84
3326,3596,130,-34
5179,-2042,49,-126
2552,3131,138,24
3391,-125,95,-77
2787,2217,135,-45
3785,1438,100,-42
6306,1692,-224,-48
5446,2289,120,-23
4525,-390,72,-91
3219,836,48,-22
1953,2445,137,13
4848,-453,45,-67
3037,3220,114,-25
3131,-316,62,-65
5148,2260,118,-40
3736,319,113,-61
2281,2449,117,-17
4060,1939,107,-19
4735,176,93,-96
3996,2152,89,-65
2967,-354,71,-68
2719,1811,100,-67
4177,1823,131,-87
2153,-327,88,-52
3562,1500,128,-34
3548,1959,76,-33
3742,2264,125,-41
3893,-366,91,-75
2690,1999,115,-54
3548,1420,122,-51
4022,1313,79,-66
2932,955,105,-38
4057,2130,136,-51
4590,-752,92,-75
4296,1654,87,-53
3301,1397,99,9
4546,1835,93,-42
4189,2863,107,-32
5182,-123,89,-99
4585,423,94,-78
5214,1534,-798,-76
5429,1170,107,-72
5790,1184,98,-81
4997,1207,90,-22
4731,1324,102,-72
5936,1797,105,-46
5204,2063,103,-31
4742,1005,121,-55
6005,596,104,-73
5641,1556,110,-54
5250,1859,103,-32
5109,590,92,-49
5145,1016,104,-42
6702,1126,75,-44
6267,1051,134,-75
4702,1524,101,-69
5359,1228,117,-50
5696,670,96,-62
4865,715,106,-85
4642,1313,100,-26
5221,952,93,-22
4660,1072,105,-69
5447,1272,81,-29
5395,993,125,-29
4995,1290,86,-31
5439,965,119,-65
4150,1238,99,-39
5202,1072,122,-45
4795,1138,117,-68
5149,1142,106,-110
5358,986,84,-67
5547,1269,106,-63
4713,1212,129,-57
4999,1505,80,-27
5388,1721,88,-49
1129,1308,123,-16
5804,839,124,-32
4699,1721,86,-33
6062,1216,98,-76
4009,1603,98,-47
5505,864,99,-58
6036,1458,91,-71
7271,705,113,-69
7465,1538,140,-3
7552,1172,99,-46
7870,954,101,-57
7004,1776,124,-51
7454,1012,82,-13
7536,1410,96,-49
7841,880,103,-41
7310,1337,130,-52
8387,1802,135,-32
7943,911,103,-58
7373,1853,95,-13
7916,259,110,-71
7357,1236,116,-27
7847,1167,100,-31
7522,1199,125,-75
7979,1057,155,-59
7859,1239,85,-76
7889,1049,98,-17
7538,1354,129,-48
8136,1660,137,-17
8121,1551,118,-38
8346,773,87,-24
8102,1468,85,-104
7881,1610,115,-37
8118,436,127,-58
8098,1652,104,-54
8361,909,98,-69
8187,859,144,-57
8601,1096,80,-40
7990,1932,156,-21
8013,1382,124,-17
7834,1431,99,-47
8380,893,78,-104
